100,    100 Thieves,            #F82225, 1560
C9,     Cloud9,                 #2497D3, 1590
CG,     Clutch Gaming,          #CC0133, 1410
CLG,    Counter Logic Gaming,   #00B4E5, 1440
FOX,    Echo Fox,               #E07026, 1530
FLY,    FlyQuest,               #13552B, 1500
GGS,    Golden Guardians,       #F8CF30, 1380
OPT,    OpTic Gaming,           #9CC538, 1470
TL,     Team Liquid,            #0C223F, 1620
TSM,    Team SoloMid,           #252527, 1500
